business_type,business_name,business_utility,super_name
אחר,"19, RUE DE BI~ALIEXPRESS.COM",אחר,אחר
חשבונות,408-724-9160 ~NETFLIX.COM,טלויזיה,אחר
סופר,77 TO סופרמרקט,אחר,סופר אחר
חשבונות,AMSTERDAM    ~NETFLIX.COM,טלויזיה,אחר
אחר,BITהעברה ב,אחר,אחר
בילוי,CAFE MAYER,אחר,אחר
בילוי,CAFFE CUCU,אחר,אחר
סופר,CARREFOUR MARKET אוא,אחר,סופר אחר
אחר,DATACAMP.COM/~DATACAMP INC.,אחר,אחר
חשבונות,DISNEY PLUS,טלויזיה,אחר
בילוי,eatmeat,אחר,אחר
מוניות,GETT,אחר,אחר
אחר,HATUKA BARBRSHOP,אחר,אחר
פארם,IHERB.COM    ~IHERB IHERB.COM,אחר,אחר
בילוי,KALAMATA,אחר,אחר
אחר,KLASSA( תכשיטי דניאל,אחר,אחר
חשבונות,LEICESTER    ~NEXT ONLINE,טלויזיה,אחר
חשבונות,LONDON       ~DISNEY PLUS,טלויזיה,אחר
חשבונות,LOS GATOS    ~NETFLIX.COM,טלויזיה,אחר
חשבונות,LUXEMBOURG   ~ALIEXPRESS,טלויזיה,אחר
חשבונות,NETFLIX.COM,טלויזיה,אחר
אחר,PAYBOX,אחר,אחר
סופר,"PM:AM ארלוזורוב ר""ג",אחר,אמפמ
חשבונות,STOCKHOLM    ~SPOTIFYIL,ספוטיפיי,אחר
בילוי,SWING,אחר,אחר
אחר,TOMMY ANNIKA,אחר,אחר
בילוי,TOM'S,אחר,אחר
אחר,TOP STOCK,אחר,אחר
אחר,WOLT,אחר,אחר
אחר,YANGO DELI,אחר,אחר
בילוי,א.מ חומוס רמת גן,אחר,אחר
אחר,אבא ובן,אחר,אחר
סופר,אטליז גבעתיים,אחר,קצבדגים
סופר,אטליז פרימדונה,אחר,קצבדגים
סופר,אי אם פי אם סניף החש,אחר,אמפמ
סופר,אי.אם.פי.אם גבעתיים,אחר,אמפמ
בילוי,אייס קפה,אחר,אחר
אחר,אייס/ אוטודיפו- אונל,אחר,אחר
אחר,אינטימה אתר-גמא,אחר,אחר
אחר,אלו מציאות,אחר,אחר
סופר,אלמה מרקט רמת גן,אחר,סופר אחר
אחר,אלנבי פוד,אחר,אחר
אחר,אלקטרה חנויות נוחות,אחר,אחר
בילוי,באוליג רמת גן/ ראשלצ,אחר,אחר
אחר,בוטיק  סנטרל גבעתיים,אחר,אחר
פארם,בי דראגסטורס בלוך גב,אחר,אחר
פארם,בי פרש קניון גבעתיים,אחר,אחר
סופר,בית לחם,אחר,מאפייה
בילוי,בית קפה ארלוזורוב בע,אחר,אחר
בילוי,בנדיקט פארק הירקון,אחר,אחר
בילוי,"בר אירי במושבה בע""מ",אחר,אחר
בילוי,בר קפה ירח,אחר,אחר
סופר,ג'וליה בייקרי,אחר,מאפייה
אחר,גוארדה בע''מ,אחר,אחר
בילוי,גולדה גן יבנה,אחר,אחר
בילוי,גולדה לוינסקי,אחר,אחר
בילוי,גורמה-סבזי,אחר,אחר
בילוי,גנה,אחר,אחר
אחר,דב זייף צבעים לבניין,אחר,אחר
אחר,דליה פרחים,אחר,אחר
קיוסק,דלק מנטה מחלף זיכרון,אחר,אחר
אחר,דלתא בני ברק עודפים-,אחר,אחר
פארם,דרגסטור פוד דיזנגוף,אחר,אחר
סופר,"הבייקרי של תמי בע""מ",אחר,מאפייה
אחר,הגרעין,אחר,אחר
אחר,"הודיס בע""מ-גמא",אחר,אחר
בילוי,החומוסיה של דני,אחר,אחר
אחר,הטבות פיס פ.,אחר,אחר
בילוי,הכוסית-ורמוטריה מקומ,אחר,אחר
אחר,"הכל לתעשיה בע""מ-מימו",אחר,אחר
סופר,המאפיה אלנבי,אחר,מאפייה
אחר,המקום הראשון בבורסה,אחר,אחר
חשבונות,המתמיד 10 רמת גן,ועד,אחר
אחר,הסטוק ב.ס.ר פתח תקוו,אחר,אחר
אחר,הקערה-חנות פרחים,אחר,אחר
בילוי,התאומים בשוק,אחר,אחר
בילוי,ויויאן לוינסקי,אחר,אחר
אחר,ורדינון דיזנגוף-גמא,אחר,אחר
בילוי,זיו שוורצמן,אחר,אחר
חשבונות,חב' חשמל דן חשבונות,חשמל,אחר
חשבונות,חברת חשמל לישראל,חשמל,אחר
חשבונות,חברת פרטנר תקשורת בע,אינטרנט,אחר
בילוי,חצר גולדמן,אחר,אחר
חשבונות,חשמל בהוראת קבע דן,חשמל,אחר
אחר,חשמל ר מ ז,אחר,אחר
סופר,"טבע ספורט קסטל בע""מ",אחר,סופר אחר
בילוי,טוני ווספה,אחר,אחר
בילוי,טוני ווספה גבעתיים,אחר,אחר
סופר,טיב טעם רשתות סירקין,אחר,טיבטעם
אחר,טכנו ויליאם,אחר,אחר
אחר,יונתן טל בעמ,אחר,אחר
בילוי,ירוק עד- מרכולית בית,אחר,אחר
סופר,כל בו עלית,אחר,סופר אחר
חשבונות,כלל ב.בריאות ה.ק,ביטוח,אחר
בילוי,לאטי משה ובניו,אחר,אחר
בילוי,לבובסקי,אחר,אחר
סופר,לחם תושיה-נורית סטול,אחר,מאפייה
אחר,מ.תחבורה ? רב-פס,אחר,אחר
סופר,מאפיית הכהנים,אחר,מאפייה
סופר,מאפיית פארין,אחר,מאפייה
אחר,מבאלי,אחר,אחר
בילוי,מזנון אבן גבירול,אחר,אחר
בילוי,מחלבת מרקוביץ',אחר,אחר
חשבונות,"מי רמת גן- הו""ק",מים,אחר
אחר,מיני משתלה,אחר,אחר
קיוסק,מינימרקט לידיה,אחר,אחר
קיוסק,מינימרקט עד חצות,אחר,אחר
סופר,מכולת האחים,אחר,סופר אחר
בילוי,מלון בית אורן,אחר,אחר
בילוי,"ממפיס פ""ת",אחר,אחר
בילוי,מסעדת דוניה רוסה עין,אחר,אחר
קיוסק,מקום בלב שלנו,אחר,אחר
סופר,מקור הפרי והירק,אחר,ירקות
אחר,מקס 10,אחר,אחר
אחר,"מקס 20 אלנבי ת""א",אחר,אחר
אחר,מקרו זול הזול,אחר,אחר
אחר,משתלת שתילים שחר בעמ,אחר,אחר
סופר,נון סטופ מרקט,אחר,סופר אחר
בילוי,נונה,אחר,אחר
אחר,נטו סטוק,אחר,אחר
בילוי,ניסו,אחר,אחר
סופר,ניצת הדובדבן רמת גן,אחר,סופר אחר
אחר,נעשה ונצליח,אחר,אחר
בילוי,סוהו,אחר,אחר
פארם,סופר פארם אורדע רמת,אחר,אחר
פארם,סופר פארם בורכוב גבע,אחר,אחר
פארם,סופר פארם בסר סיטי פ,אחר,אחר
פארם,סופר פארם כופר הישוב,אחר,אחר
פארם,סופר פארם קניון ביאל,אחר,אחר
סופר,סופר פלוס,אחר,סופר פלוס
חשבונות,סופרגז רמת גן גבעתיי,גז,אחר
פארם,סופרפארם ארלוזורוב 0,אחר,אחר
סופר,סטאר פיש חנות דגים ט,אחר,קצבדגים
בילוי,סיגנצ'ר,אחר,אחר
סופר,סיטי מרקט קריניצי,אחר,סופר אחר
בילוי,סינמטק תל אביב,אחר,אחר
אחר,ספייסז גבעתיים-צמרת,אחר,אחר
בילוי,"ע.נ.מ. מסעדות בע""מ -",אחר,אחר
בילוי,"עברי בפארק בע""מ",אחר,אחר
קיוסק,עד חצות אמנון מלייב,אחר,אחר
חשבונות,"עיריית ר""ג-אינטרנט",ארנונה,אחר
אחר,עלי דפנה,אחר,אחר
בילוי,עלי קראוון,אחר,אחר
בילוי,עלי קרוואן,אחר,אחר
בילוי,פארק אריאל שרון,אחר,אחר
אחר,פוד אפיל רמת גן,אחר,אחר
חשבונות,פועלים- דמי כרטיס,אחר,אחר
אחר,פוקס הום גבעתיים,אחר,אחר
אחר,פט בסט,אחר,אחר
בילוי,פיצה יואב פלורנטין,אחר,אחר
אחר,פיצוי ייצוגית רשף,אחר,אחר
בילוי,פלורנטינה,אחר,אחר
אחר,פנדה,אחר,אחר
בילוי,פסגות הקרח- פארק פרס,אחר,אחר
סופר,פרימדונה,אחר,ירקות
בילוי,צ'אצוס קפה,אחר,אחר
אחר,צ'ובו-צמרת,אחר,אחר
בילוי,קומי (משרד כרטיסים),אחר,אחר
קיוסק,קליית חממה,אחר,אחר
בילוי,קפה הרואה,אחר,אחר
בילוי,קפה עלית רכבת תל אבי,אחר,אחר
בילוי,קפה עלמה,אחר,אחר
אחר,קרייזי ליין-ק.גבעתיי,אחר,אחר
אחר,ראלי וויס-מפעל הפיס,אחר,אחר
סופר,"רד אביב בע""מ",אחר,סופר אחר
סופר,רולדין דיזנגוף,אחר,מאפייה
בילוי,רשות הטבע והגנים חי,אחר,אחר
אחר,"ש. ברלינר בע""מ",אחר,אחר
סופר,שופרסל שלי גבעתיים,אחר,סופר אחר
סופר,שפע פירות וירקות,אחר,ירקות
,תמרה יוגורט,,
